id,value
1,0.22731559095963647
2,-0.4341966326400014
3,-0.04995612341538491
4,0.03145972892774206
5,-0.06227299956512508
6,0.22418602145917055
7,-0.8093385613761314
8,-0.8008650068286235
9,-0.12048121380793608
10,-0.6677439219934435
11,0.06030024009499999
12,-0.3282967511100013
13,-0.5763636043067182
14,-0.807864401822646
15,-0.6159508780778438
16,-0.1613829676008497
17,-0.01723155802848218
18,0.01721904244858336
19,-0.6723453982592004
20,0.20037452910508985
21,-0.06523796019107948
22,0.32234756599000053
23,0.2064036251174288
24,0.01721904244858336
25,-0.14200558416530681
26,-0.807864401822646
27,0.1744909690420406
28,0.1744909690420406
29,0.21497570366388716
30,-0.12275741733381162
31,0.09414125517499575
32,-0.12355996054012414
33,-0.4780864217800008
34,-0.19200534695741683
35,-0.1618632478236277
36,-0.03751247690770842
37,-0.8102592780529796
38,0.13319693091297158
39,-0.044477950513420655
40,0.10850103796205138
41,0.10308723114999976
42,0.2078437305348044
43,-0.20646877893007165
44,-0.5203527156800002
45,-0.4235519422966669
46,-0.0321292705855001
47,-0.8110601049615189
48,0.4925474651100013
49,-0.1618632478236277
50,-0.006644445591369049
51,-0.7861279819848659
52,0.18729779016279596
53,0.0018563474304761887
54,-0.7779977111764877
55,-0.03636499481083324
56,-0.14381515663499977
57,-0.49070607667999916
58,-0.1553742359036194
59,-0.07610868617336912
60,-0.716313345828636
61,0.07492032095360435
62,-0.12319148754829083
63,-0.14078589324629887
64,-0.104631140522284
65,0.005518071857083334
66,-0.10503666806049745
67,-0.3715213278972502
68,-0.20169159101473827
69,-0.5407967311450013
70,-0.730586517815502
71,0.09465435361861535
72,0.2367263178321571
73,0.14865666495042593
74,-0.018375897583607182
75,-0.23570697997500015
76,-0.3592093897972501
77,0.2249514093450916
78,0.2095654967985604
79,-0.24623402675500028
80,0.08169549065091256
81,0.10995058539268117
82,0.20868938706456852
83,-0.09765370532000006
84,-0.6955666128203408
85,-0.05162446471782929
86,-0.20644858306007166
87,0.15697157514625196
88,0.13979510907290613
89,-0.6980947293024511
90,0.16072194566278533
91,0.22750323210275694
92,-0.4711251155450015
93,-0.25296758099499944
94,0.01804232181458334
95,0.20407977849059603
96,-0.03636499481083324
97,0.23897555916592583
98,-0.719735671985311
99,0.10308723114999976
100,-0.8110601049615189
101,0.0018563474304761887
102,-0.24414449809500027
103,-0.18853664413782173
104,-0.04015910621603963
105,-0.054838090086875034
106,-0.6718275142333807
107,-0.1908863912090598
108,0.1744135821650387
109,0.2004615408669571
110,0.07902694196345245
111,-0.020157074941839336
112,0.23501664265057873
113,0.07709624277876638
114,-0.018539017223607183
115,-0.11218718386618494
116,-0.08918633350794643
117,0.23897555916592583
118,-0.7656381641667878
119,0.14308621943186292
120,-0.4780864217800008
121,-0.5953557153761772
122,-0.16119141557786246
123,-0.7592325487658936
124,-0.05162446471782929
125,-0.06499160791385522
126,-0.17061881069499957
127,0.23556538594301468
128,-0.13971235591932898
129,0.1193754493261582
130,0.1868431648772274
131,-0.5294904677599983
132,-0.3360155023500003
133,0.06030024009499999
134,-0.14290266971688706
135,-0.2772589604170003
136,0.2356563542910129
137,-0.06284631108500002
138,-0.8102592780529796
139,-0.7125397899673718
140,-0.04955898442871825
141,0.23550954993300766
142,-0.10233259921070978
143,0.14956906582173324
144,-0.25296758099499944
145,-0.010407083415833358
146,0.1635531694200003
147,-0.5224545220250009
148,-0.7423893801448511
149,-0.6299120646234408
150,0.0023582277454166733
151,0.008071114089500023
152,0.20496804870622096
153,-0.20847532694766657
154,-0.8102592780529796
155,-0.03751247690770842
156,0.063827130512619
157,-0.1613829676008497
158,-0.6418476082979823
159,-0.2803099795670008
160,0.21458705643826104
161,-0.7342988576930252
162,0.028179418850075407
163,0.16990264820423856
164,0.03945053283044641
165,0.23915861182798143
166,0.1421201465824669
167,0.22797518576092915
168,0.23897555916592583
169,-0.07351380364415486
170,-0.15779293317871143
171,0.2078437305348044
172,-0.767418440699427
173,0.22713227032058037
174,0.01773896295564289
175,-0.3212932928899995
176,0.22074193074025114
177,-0.006644445591369049
178,-0.6117301531398049
179,-0.16063867972611345
180,0.0023582277454166733
181,0.2064036251174288
182,0.09561385660912
183,-0.7226652701818762
184,-0.7798687494881374
185,0.227078198571622
186,-0.16059401915998708
187,0.22434612511344607
188,-0.09043257548194647
189,0.1726604908420164
190,-0.20210867105797628
191,-0.04834276415407936
192,0.2292704505068514
193,0.2356563542910129
194,-0.020157074941839336
195,0.14122873602005895
196,-0.8186904747952285
197,-0.8056470090351461
198,-0.5224545220250009
199,-0.7209515068325486
200,-0.1068699621912979
