x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,value
1.820092671,0.159476041,0.582088152,0.373024294,0.4429733,0.997336273,0.425162559,0.862518464,0.013017618,0.732293745,-0.212491977
-2.935780089,-0.334643578,1.923014708,-0.98002979,-0.364581863,0.6311673,0.944345759,0.545469317,0.087425607,0.407760847,1.241629997
-0.544894039,-0.895405297,0.051421313,0.212953514,-0.390282048,0.164976674,0.926398174,0.562035801,0.16394646,0.639655415,-1.494748953
-1.11909594,0.715454224,1.362240412,1.133906354,-1.120645668,0.529612262,0.083461937,0.459197514,0.448113273,0.802316604,3.895388422
1.171124068,0.053572605,0.70380436,0.95991199,-0.967464621,0.239100038,0.487664018,0.690517251,0.87791956,0.513217695,4.257468653
-0.559292113,-0.968790793,0.226001414,-0.706688228,-1.021661518,0.710960513,0.948690537,0.886795036,0.690861019,0.649056385,0.793194299
1.516192368,1.675273048,-1.239913192,0.693742355,0.200101089,0.112605584,0.77700185,0.036993348,0.709599269,0.409759323,3.802999639
-0.176117778,-0.570025296,-0.005499042,0.970734727,0.617288834,0.65779972,0.575698438,0.962752512,0.88348219,0.726597749,5.328074938
0.431667804,-0.722607733,-1.259027634,-0.733032119,-0.977632982,0.951450981,0.207070973,0.137306522,0.789077792,0.669797012,0.999434047
-0.267609981,-0.114778065,-1.130796162,1.300721839,-0.332025833,0.47059005,0.787597356,0.991095933,0.113534784,0.768034328,5.804979613
1.581813882,-0.589980397,0.434699153,-1.154992828,-0.316494346,0.429716123,0.054250303,0.723955633,0.683312677,0.226307352,-2.527408055
-1.664139132,0.794595104,0.358315073,0.458374582,-0.485268363,0.029792387,0.147878307,0.510482989,0.868641743,0.707542055,1.632289769
-2.083785836,0.944372587,0.496039482,0.422055624,0.200709786,0.511466214,0.374414075,0.749234614,0.402080635,0.98902728,3.934442152
0.35889787,-0.416602705,-0.323600195,1.647037678,0.869993997,0.221445355,0.107652265,0.738215816,0.687891467,0.563256687,3.889798797
-1.21049612,0.009658899,0.300850665,-0.095555177,0.433057958,0.082792226,0.292483812,0.858191697,0.025278482,0.745244994,2.090166504
-0.149103272,1.351237883,-0.431635521,0.053479906,-0.02108754,0.457865415,0.747064897,0.188446853,0.515197679,0.936783481,1.900198941
1.32162166,0.547653536,1.413639026,-0.948682677,-0.077523122,0.858390901,0.779641641,0.708905662,0.319926721,0.550353095,-1.394453757
