x1,x2,x3,x4,x5,x6,x7,x8,x9,value
-9.214827717,5.81758303,7.82190704,26.149092,-7.423011176,14.32543277,0.17346018,-12.41364184,-1.199871698,-8778.806766
3.426553597,0.046013125,1.907013334,-25.13467446,5.255181379,22.32988021,-12.75998275,9.463431624,-2.355828647,1322.525297
-11.00820429,-15.70789419,13.01834672,7.07372402,0.405525029,1.088191536,-7.861424325,-4.82659764,-7.114290568,1621.848205
4.344236435,2.377356023,-5.941499557,-14.46057854,0.721295077,-5.294927091,2.326762114,0.218521455,16.01778891,1317.113312
8.116963859,2.051131276,7.021640474,-15.91638735,2.97703682,-0.64886693,4.95224947,7.522719302,-10.51097935,1311.30835
-8.316703662,-15.68610225,1.773635402,-0.310824751,13.2822644,12.05310876,1.768916719,7.881145369,-1.042187444,848.8987715
6.868669613,6.062302059,-13.80242643,-8.761188317,-2.049873936,-7.258640425,-10.64537025,-18.72175741,-13.46529213,7396.684154
8.50248439,-1.609176783,6.807180417,6.803108198,-1.424147579,7.642963709,-33.60876261,-6.441414424,0.214021074,1322.439786
9.085868016,2.901333271,17.94231779,-14.9889528,-0.077262811,3.663369689,-9.145550468,3.007145418,-11.06582494,1220.221082
5.449751398,-4.51004917,-12.63862588,-7.259979682,2.029657027,0.462331149,6.44432572,4.365835835,-11.7160344,3908.960366
-1.243394655,2.432712608,-12.21464567,7.62654664,-0.696464904,-15.52015749,-5.578684625,6.204834248,0.828840669,1318.87252
4.676254184,7.410043595,-13.3698055,16.77826891,4.832609981,-7.041022875,-10.96591657,9.870977414,2.111591972,-3513.560583
-7.392637488,-8.97894067,2.530449669,-10.30635574,-2.543741138,9.23291124,7.766276061,10.64587832,-13.05675867,1321.048244
6.221966361,-13.18898423,23.72418034,-10.27221467,-10.83150226,6.251337679,12.91941137,-3.237027666,-10.71469217,1322.667106
-16.03033273,-10.46858295,6.786409469,-1.025010357,5.37667172,-0.136325659,-2.07671964,-6.800438282,-11.94002656,1303.483809
0.977790001,-12.26133231,-0.890336891,1.84705495,7.827256669,2.729869145,6.63801295,-1.241308699,11.81481894,-8383.343945
-4.125763557,-17.49657815,-13.30894303,-13.06676308,-7.275403658,0.900943165,0.489072932,11.8659589,-14.07026311,5006.027378
17.32199685,-1.186810104,7.348764115,-13.40401923,-12.86977884,7.097521997,3.080601537,21.46733561,-7.053205077,-9645.103003
-13.51128859,-14.02925935,15.69736349,-22.67001973,4.697047098,9.069982145,9.874646341,2.772320173,13.19909696,-7353.186071
-5.700124323,29.22803309,4.906354878,-7.496256333,-7.954561667,23.64955608,4.929886847,-5.661528562,-2.03460611,4356.488979
16.7534122,-4.601005283,0.273290105,3.37317953,7.605333127,4.410619866,20.63902255,13.72880662,15.70360271,134542.0055
-16.89517185,4.555714038,-8.559952792,-4.378312054,3.517257346,8.664133744,3.31063411,-13.89197139,0.641371672,1309.444779
7.8648337,15.05148395,-6.343876164,-11.66385198,12.86656353,-12.86351685,10.33584478,-9.091816053,-6.296416559,1316.09138
16.46847132,11.32281496,14.78096498,9.019566962,-4.138717159,-1.759938083,-6.160232094,5.411317064,4.729413119,22913.24973
2.014023654,2.493599919,1.562807127,-9.902711835,0.2469055,-5.13202628,13.14200284,1.103178251,0.793793715,1321.015221
-0.135505113,2.598991648,7.614009568,-6.181524493,11.0232869,19.75040991,-2.899675612,-5.177304254,12.65355253,31137.59914
8.052913641,-2.994858783,-0.964471666,-11.78659962,4.009318144,-2.765367449,-10.76871921,-2.290675391,-8.626917177,3416.40069
